geo_mean,geo_mean_01,centroid_x,centroid_y
0.243909,0.516333,112.843880,34.451977
0.213298,0.449096,112.843880,34.444569
0.173547,0.361781,112.843880,34.437161
0.172116,0.358638,112.843880,34.429752
0.175405,0.365861,112.843880,34.422342
0.177435,0.370321,112.843880,34.414931
0.176161,0.367523,112.843880,34.407520
0.186220,0.389617,112.843880,34.400108
0.199275,0.418293,112.843880,34.392696
0.183363,0.383342,112.843880,34.385283
0.203246,0.427017,112.843880,34.377869
0.239178,0.505942,112.843880,34.370455
0.214704,0.452184,112.843880,34.363040
0.225848,0.476661,112.843880,34.355624
0.226737,0.478616,112.843880,34.348208
0.231190,0.488395,112.843880,34.340790
0.243223,0.514826,112.843880,34.333373
0.166340,0.345950,112.843880,34.325954
0.017437,0.018878,112.843880,34.318535
0.124887,0.254898,112.843880,34.311116
0.129422,0.264858,112.843880,34.303695
0.000000,0.000000,112.852864,34.821530
0.093496,0.185946,112.852864,34.814155
0.373398,0.800762,112.852864,34.806780
0.391694,0.840947,112.852864,34.799403
0.321716,0.687240,112.852864,34.792027
0.205720,0.432450,112.852864,34.784649
0.000000,0.000000,112.852864,34.710837
0.121759,0.248027,112.852864,34.703452
0.289552,0.616590,112.852864,34.696067
0.288364,0.613981,112.852864,34.688681
0.297937,0.635008,112.852864,34.681294
0.301721,0.643319,112.852864,34.673907
0.307478,0.655966,112.852864,34.666518
0.292060,0.622100,112.852864,34.659130
0.294819,0.628159,112.852864,34.651740
0.276018,0.586862,112.852864,34.644350
0.257162,0.545444,112.852864,34.636959
0.280233,0.596121,112.852864,34.629568
0.260021,0.551724,112.852864,34.622176
0.291154,0.620108,112.852864,34.614783
0.248076,0.525486,112.852864,34.607390
0.259713,0.551049,112.852864,34.599996
0.299037,0.637424,112.852864,34.592601
0.013317,0.009829,112.852864,34.585206
0.011969,0.006869,112.852864,34.481602
0.169326,0.352509,112.852864,34.474197
0.215506,0.453944,112.852864,34.466791
0.196406,0.411992,112.852864,34.459384
0.202442,0.425249,112.852864,34.451977
0.238808,0.505128,112.852864,34.444569
0.180230,0.376461,112.852864,34.437161
0.186278,0.389745,112.852864,34.429752
0.201494,0.423167,112.852864,34.422342
0.196538,0.412281,112.852864,34.414931
0.176929,0.369209,112.852864,34.407520
0.184982,0.386898,112.852864,34.400108
0.195376,0.409729,112.852864,34.392696
0.206809,0.434842,112.852864,34.385283
0.209873,0.441573,112.852864,34.377869
0.234340,0.495316,112.852864,34.370455
0.212175,0.446629,112.852864,34.363040
0.221559,0.467240,112.852864,34.355624
0.201622,0.423448,112.852864,34.348208
0.224607,0.473937,112.852864,34.340790
0.210723,0.443439,112.852864,34.333373
0.200193,0.420309,112.852864,34.325954
0.150704,0.311606,112.852864,34.318535
0.192577,0.403581,112.852864,34.311116
0.105644,0.212630,112.852864,34.303695
0.000000,0.000000,112.861847,34.836278
0.034299,0.055918,112.861847,34.828904
0.177354,0.370143,112.861847,34.821530
0.367208,0.787163,112.861847,34.814155
0.365055,0.782436,112.861847,34.806780
0.361079,0.773701,112.861847,34.799403
0.375210,0.804742,112.861847,34.792027
0.236829,0.500782,112.861847,34.784649
0.007425,0.000000,112.861847,34.710837
0.268884,0.571192,112.861847,34.703452
0.296086,0.630942,112.861847,34.696067
0.284590,0.605691,112.861847,34.688681
0.291517,0.620905,112.861847,34.681294
0.311061,0.663836,112.861847,34.673907
0.333567,0.713270,112.861847,34.666518
0.308401,0.657992,112.861847,34.659130
0.270592,0.574943,112.861847,34.651740
0.265021,0.562706,112.861847,34.644350
0.263897,0.560238,112.861847,34.636959
0.260940,0.553743,112.861847,34.629568
0.265453,0.563655,112.861847,34.622176
0.278762,0.592890,112.861847,34.614783
0.243712,0.515901,112.861847,34.607390
0.254230,0.539003,112.861847,34.599996
0.290934,0.619625,112.861847,34.592601
0.187679,0.392821,112.861847,34.585206
0.030359,0.047264,112.861847,34.577810
0.000000,0.000000,112.861847,34.570413
0.113774,0.230487,112.861847,34.474197
0.227250,0.479741,112.861847,34.466791
0.200804,0.421652,112.861847,34.459384
0.219244,0.462155,112.861847,34.451977
0.221443,0.466985,112.861847,34.444569
0.209903,0.441637,112.861847,34.437161
0.185105,0.387167,112.861847,34.429752
0.180953,0.378049,112.861847,34.422342
0.205426,0.431805,112.861847,34.414931
0.232840,0.492020,112.861847,34.407520
0.213376,0.449266,112.861847,34.400108
0.220123,0.464087,112.861847,34.392696
0.184992,0.386920,112.861847,34.385283
0.193936,0.406567,112.861847,34.377869
0.238904,0.505340,112.861847,34.370455
0.212739,0.447868,112.861847,34.363040
0.194291,0.407346,112.861847,34.355624
0.233379,0.493205,112.861847,34.348208
0.247016,0.523159,112.861847,34.340790
0.200500,0.420984,112.861847,34.333373
0.174363,0.363572,112.861847,34.325954
0.212226,0.446739,112.861847,34.318535
0.240551,0.508958,112.861847,34.311116
0.123225,0.251246,112.861847,34.303695
0.001096,0.000000,112.870830,34.843651
0.051063,0.092740,112.870830,34.836278
0.274552,0.583641,112.870830,34.828904
0.363459,0.778930,112.870830,34.821530
0.379803,0.814830,112.870830,34.814155
0.411333,0.884087,112.870830,34.806780
0.369472,0.792138,112.870830,34.799403
0.336693,0.720136,112.870830,34.792027
