grid_id,mean,std,min,max,range,q05,q25,q50,q75,q95,n_frames
10305,8.391444881685818,6.446228234773824,0.0,21.033882482196113,21.033882482196113,0.49326764464562756,4.8872916644533575,6.096549067995423,11.461242159563332,19.91252542036259,12
10306,11.38458882550884,8.075391243612591,0.0,28.35325985918582,28.35325985918582,1.5042543871843033,6.083045092488923,9.794190469531047,15.016225712780646,25.479611886660766,12
10307,6.381608778377285,3.509991688125523,0.0,14.189279500265764,14.189279500265764,2.0821624310773146,4.330678714784137,5.62261328412122,7.6503274242213966,12.271030219603015,12
10308,6.764264887419254,5.125847547355983,0.0,16.746621556854397,16.746621556854397,1.3537870536510748,2.9068024856108217,4.900111288182311,9.310858103594207,15.58511275577828,12
10309,7.446384960539116,4.887881897820578,0.0,15.826746706075628,15.826746706075628,1.8335266975972169,4.359472758803509,5.601233522887506,10.229533652228147,15.645018910439829,12
10310,8.482622939394117,5.242158780587757,0.0,19.162782517553133,19.162782517553133,1.095299601271376,5.44050812536249,7.492328274031518,10.860285267839307,17.02660117677373,12
10311,7.778947056336144,5.814069739618917,0.0,20.322211716052355,20.322211716052355,0.0,4.858846395773653,6.560222212849482,9.39360163817385,18.641640687500914,12
10312,8.0273680984959,7.077547463238294,0.0,25.96522751259212,25.96522751259212,0.4365352892912549,3.2831417809669015,6.443117639035094,9.537925664169698,21.00125555728602,12
10313,8.163866253539895,6.569027891687352,0.0,19.515326508978223,19.515326508978223,0.20601722307054385,3.5221724085707122,6.3746235674389204,12.690541934716025,18.7452227764119,12
10314,8.44701208074836,5.539432433850579,0.0,20.678723006537602,20.678723006537602,1.033727298045656,3.915450860400958,8.479872695075425,11.58940554117321,16.946931622921575,12
10315,8.448428292731984,6.347018188720463,0.0,21.532504014161816,21.532504014161816,1.7252961900909505,4.093676584237477,6.237908546170316,10.265176394149083,20.241324612180755,12
10316,5.804366466732489,3.3933059668061376,0.0,11.073872717657162,11.073872717657162,1.3686461748991245,3.1231948289529483,5.31843111610961,8.123631034394231,10.901718478091604,12
10317,5.989701137493824,4.040086642601103,0.0,12.67476821982193,12.67476821982193,0.0,3.964162823494066,5.128929415974428,7.991150201125459,12.563837544884443,12
10318,6.690863665893829,4.736954044824237,0.0,16.939463145393226,16.939463145393226,1.3470204906936771,3.614086869647419,5.593937678271725,8.37470602999751,15.263068772522798,12
10319,7.816987973822349,5.732701690516884,0.0,19.54000577491957,19.54000577491957,1.2509718616397731,3.7499905328035563,6.033662176098931,12.552026148872018,17.246698127223432,12
10320,8.770776828952494,6.9089807167589115,0.0,24.219554337315028,24.219554337315028,1.6948270758020068,4.746214753852396,6.741101295115094,9.278521474833477,22.277268282496205,12
10321,10.403227617046273,7.646643140917279,0.0,26.89370704068993,26.89370704068993,0.6941129165225081,4.844918460394224,8.481983456471855,14.20075523918318,22.55764287789973,12
10322,6.320916301368913,3.5940520161196297,1.0,13.16768966858783,12.16768966858783,1.5215099183007275,3.45095430803753,6.097833745782911,8.484101598018732,12.139869152056367,12
10323,8.974115199965771,6.171080684402004,0.0,19.142795540780142,19.142795540780142,1.3441308719749319,4.484262986918074,7.346464459877648,14.099078190121043,18.913673689340516,12
10324,7.289306500900312,4.541101285502405,0.0,17.77166272379401,17.77166272379401,0.34647828872109027,5.226316358531616,7.432787566961972,8.784229171337874,14.618121175873165,12
10325,5.836914205772872,4.554621638765699,0.0,13.818334711495243,13.818334711495243,0.0,2.8341399750290783,4.9444584488700905,7.724351177006514,13.704052250542206,12
10326,5.518303674999444,4.578576255086429,0.0,14.429223927166987,14.429223927166987,0.6116524061029909,2.2154563883412215,3.413975503298925,9.431063029261004,13.301901476550729,12
10327,6.712938948319052,3.6081907169608907,0.0,11.930747322342205,11.930747322342205,1.1837338375615014,4.124085535668901,6.781828356657794,9.697849120466115,11.80596159093117,12
10328,9.306145660682152,6.44615394821362,0.0,23.34871708830449,23.34871708830449,0.8104832229237378,4.562807471421359,8.86611258133717,11.904461906759597,19.986630891171004,12
